"Title";"Acronym";"Rank";"PrimaryFoR"
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes";"SAFEProcess";"C";"4604"
"IFIP Information Security & Privacy Conference";"IFIP SEC";"B";"4604"
"IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC)";"DBSEC";"B";"4604"
"IMA International Conference on Cryptography and Coding";"IMACC";"C";"4604"
"Information Hiding and Multimedia Security Workshop";"IH&MMSec";"C";"4604"
"Information Security Conference";"ISC";"C";"4604"
"Information Security Practice and Experience Conference";"ISPEC";"C";"4604"
"Information Security Symposium";"CERIAS";"National: USA";"4604"
"International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing)";"ATC";"C";"4604"
"International Conference on Applied Cryptography and Network Security";"ACNS";"B";"4604"
"International Conference on Availability, Reliability and Security";"ARES";"B";"4604"
"International Conference on COMmunication Systems & NETworkS";"COMSNETS";"National:India";"4606"
"International Conference on Computational Intelligence and Security";"CIS";"National: China";"4604"
"International Conference on Computer Safety, Reliability and Security";"SAFECOMP";"B";"4604"
"International Conference on Cryptology and Network Security";"CANS";"B";"4604"
"International Conference on Cryptology in India";"INDOCRYPT";"National: India";"4604"
"International Conference on Dependable, Autonomic and Secure Computing";"DASC";"C";"4604"
"International Conference on Information and Communications Security";"ICICS";"C";"4604"
"International Conference on Information Security and Cryptography";"SECRYPT";"C";"4604"
"International Conference on Information Security and Cryptology";"ICISC";"National: Korea";"4604"
"International Conference on Information Systems Security";"ICISS";"National: India";"4604"
"International Conference on Information Systems Security and Privacy";"ICISSP";"C";"4604"
"International Conference on Internet Monitoring and Protection";"ICIMP";"C";"4604"
"International Conference on Internet of Things, Big Data and Security";"IoTBDS";"C";"4604"
"International Conference on network and System Security";"NSS";"B";"4604"
"International Conference on Pairing-based Cryptography";"Pairing";"C";"4604"
"International Conference on Practice and Theory in Public Key Cryptography";"PKC";"B";"4604"
"International Conference on Provable Security";"ProvSec";"C";"4604"
"International Conference on Risks and Security of Internet and Systems";"CRiSIS";"C";"4604"
"International Conference on Security and Privacy for Communication Networks";"SecureComm";"C";"4604"
"International Conference on Security of Information and Networks";"SIN";"C";"4604"
"International Conference on Sequences and their Applications";"SETA";"C";"4604"
"International Conference on the Theory and Application of Cryptographic Techniques";"EuroCrypt";"A*";"4604"
"International Conference on the Theory and Application of Cryptology and Information Security";"ASIACRYPT";"A";"4604"
"International Conference on Trust, Privacy and Security in Digital Business";"TrustBus";"B";"4604"
"International Conference on Trust, Security and Privacy in Computing and Communications";"TrustCom";"B";"4604"
"International Joint Conference on Biometrics";"IJCB";"B";"4603"
"International Symposium 'Problems of Redundancy in Information and Control Systems'";"Redundancy";"National Russia";"4604"
"International Symposium on Information Assurance and Security";"IAS";"C";"4604"
"International Symposium on Information Theory and Its Applications";"ISITA";"C";"4613"
"International Workshop on Algebraic and Combinatorial Coding Theory";"ACCT";"National";"4613"
"International Workshop on Critical Information Infrastructures Security";"CRITIS";"C";"4604"
"International Workshop on Digital Watermarking";"IWDW";"C";"4604"
"International Workshop on Fast Software Encryption";"FSE";"B";"4604"
"International Workshop on Information Security Applications";"WISA";"National: korea";"4604"
"International Workshop on Post-Quantum Cryptography";"PQCrypto";"C";"4604"
"International Workshop on Security";"IWSEC";"National: Japan";"4604"
"International Workshop on Visualization for Cyber Security";"VizSec";"C";"4608"
"New Security Paradigms Workshop";"NSPW";"C";"4604"
"Pacific Rim International Symposium on Dependable Computing";"PRDC";"C";"4612"
"Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies)";"PETS";"A";"4604"
"Privacy in Statistical Databases";"PSD";"C";"4604"
"Selected Areas in Cryptography";"SAC";"B";"4604"
"SKLOIS Conference on Information Security and Cryptology";"Inscrypt";"National: China";"4604"
"Smart Card Research and Advanced Application Conference";"CARDIS";"C";"4604"
"Symposium on Stabilization, Safety, and Security of Distributed Systems";"SSS";"C";"4604"
"Symposium On Usable Privacy and Security";"SOUPS";"A";"4608"
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)";"RAID";"A";"4604"
"Theory of Cryptography Conference";"TCC";"B";"4604"
"Usable Security and Privacy";"USEC";"National: USA";"4604"
"Usenix Network and Distributed System Security Symposium";"NDSS";"A*";"4604"
"Usenix Security Symposium";"USENIX-Security";"A*";"4604"
"Workshop in Information Security Theory and Practices";"WISTP";"C";"4604"
"Workshop on Cryptographic Hardware and Embedded Systems";"CHES";"A";"4604"
"Workshop on Fault Diagnosis and Tolerance in Cryptography";"FDTC";"C";"4604"
"AAAI Conference on Human Computation and Crowdsourcing";"HCOMP";"B";"4608"
"ACM International Conference on Advances in Geographic Information Systems";"SIGSPATIAL";"A";"4601"
"ACM International Conference on Information and Knowledge Management";"CIKM";"A";"4605"
"ACM International Conference on Knowledge Discovery and Data Mining";"KDD";"A*";"4605"
"ACM International Conference on Multimedia in Asia";"MM_Asia";"C";"4603"
"ACM International Conference on Recommender Systems";"RecSys";"A";"4605"
"ACM International Conference on Research and Development in Information Retrieval";"SIGIR";"A*";"4605"
"ACM International Conference on Web Search and Data Mining";"WSDM";"A";"4605"
"ACM SIGIR Conference on Human Information Interaction And Retrieval";"CHIIR";"B";"4605"
"ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems";"PODS";"A*";"4605"
"ACM Special Interest Group on Management of Data Conference";"SIGMOD";"A*";"4605"
"ACM Symposium on Document Engineering";"DocEng";"B";"4605"
"Applications of Natural Language to Data Bases";"NLDB";"C";"4602"
"Asia-Pacific Conference on Conceptual Modelling";"APCCM";"Australasian C";"4605"
"Asian Conference on Intelligent Information and Database Systems";"ACIIDS";"B";"4605"
"Australasian Database Conference";"ADC";"Australasian B";"4605"
"Australasian Document Computing Symposium";"ADCS";"Australasian B";"4605"
"Australian Data Mining Conference";"AusDM";"Australasian C";"4605"
"Computer Sciences and Information Technologies";"CSIT";"National";"4602"
"Conference on File and Storage Technologies";"FAST";"A";"4605"
"Conference on Fun with Algorithms";"FUN";"National: Italy";"4613"
"Conference on Innovative Data Systems Research";"CIDR";"A";"4605"
"Data Compression Conference";"DCC";"B";"4605"
"Data Warehousing and Knowledge Discovery";"DaWaK";"B";"4605"
"Datenbanksysteme für Business, Technologie und Web";"BTW";"National:Germany";"4605"
"European Conference on Information Retrieval";"ECIR";"A";"4605"
"European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008)";"ECML PKDD";"A";"4611"
"European-Japanese Conference on Information Modelling and Knowledge Bases";"EJC";"C";"4605"
"Extended Semantic Web Conference (was European Semantic Web Conference)";"ESWC";"B";"4605"
"Extending Database Technology";"EDBT";"B";"4605"
"Flexible Query-Answering Systems";"FQAS";"C";"4605"
"ICT in Education, Research, and Industrial Applications";"ICTERI";"National: Ukraine";"4601"
"IEEE International Conference on Big Data";"BigData";"B";"4605"
"IEEE International Conference on Cloud Computing in Emerging Markets";"CCEM";"National:India";"4606"
"IEEE International Conference on Data Mining";"ICDM";"A*";"4605"
"IEEE International Conference on Data Science and Advanced Analytics";"DSAA";"B";"4605"
"IEEE International Conference on Data Science and Engineering";"ICDSE";"National:India";"4605"
"IEEE International Conference on Document Analysis and Recognition";"ICDAR";"A";"4605"
"IEEE International Conference on Information Reuse and Integration";"IRI";"National: USA";"4605"
"IEEE International Working Conference on Mining Software Repositories";"MSR";"A";"4612"
"IEEE Symposium on Computational Intelligence and Data Mining";"CIDM";"C";"4605"
"IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining";"ASONAM";"B";"4605"
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies";"BDCAT";"C";"4611"
"IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT)";"WI";"B";"4602"
"Information Integration and Web-based Applications and Services";"IIWAS";"C";"46"
"Intelligent Data Analysis";"IDA";"B";"4605"
"International Baltic Conference on Databases and Information Systems";"DB&IS";"Regional - Baltic";"4605"
"International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing)";"ATC";"C";"4604"
"International Conference on Advanced Data Mining and Applications";"ADMA";"C";"4605"
"International Conference on Advanced Information Systems Engineering";"CaiSE";"A";"4605"
"International Conference on Advanced Technologies For Signal & Image Processing";"ATSIP";"National: Tunisia";"4603"
"International Conference on Analysis of Images, Social Networks and Texts";"AIST";"National: Russia";"4602"
"International Conference on Conceptual Modelling";"ER";"A";"4605"
"International Conference on Data Engineering";"ICDE";"A*";"4605"
"International Conference on Data Science, Technology and Applications";"DATA";"C";"4605"
"International Conference on Database and Expert Systems Applications";"DEXA";"C";"4605"
"International Conference on Database Systems for Advanced Applications";"DASFAA";"B";"4605"
"International Conference on Database Theory";"ICDT";"A";"4605"
"International Conference on Dublin Core and Metadata Applications";"DC";"C";"4605"
"International Conference on Graph Transformations";"ICGT";"B";"4613"
"International Conference on Information Fusion";"FUSION";"C";"4605"
"International Conference on Information Processing and Management of Uncertainty";"IPMU";"C";"4605"
"International Conference on Internet and Web Applications and Services";"ICIW";"C";"4606"
"International Conference on Knowledge Engineering and Knowledge Management";"EKAW";"B";"4605"
"International Conference on Knowledge Engineering and Ontology Development";"KEOD";"C";"4605"
"International Conference on Knowledge Science, Engineering and Management";"KSEM";"C";"4602"
"International Conference on Management of Data";"COMAD";"National: India";"4605"
"International Conference on Mobile Data Management";"MDM";"B";"4605"
"International Conference on Model and Data Engineering";"MEDI";"C";"4605"
"International Conference on Multimedia Retrieval (previously MIR)";"ICMR";"B";"4603"
"International Conference on Process Mining";"ICPM";"B";"4605"
"International Conference on Scientific and Statistical Data Base Management";"SSDBM";"B";"4605"
"International Conference on Similarity Search and Applications";"SISAP";"B";"4605"
"International Conference on the Theory of Information Retrieval";"ICTIR";"Unranked";"4605"
"International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010)";"TPDL";"B";"4605"
"International Conference on Very Large Databases";"VLDB";"A*";"4605"
"International Conference on Web and Social Media";"ICWSM";"A";"4601"
"International Conference on Web Engineering";"ICWE";"B";"4605"
"International Conference on Web Information Systems Engineering";"WISE";"B";"4605"
"International Database Engineering and Applications Symposium";"IDEAS";"C";"4605"
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management";"IC3K";"C";"4605"
"International Semantic Web Conference";"ISWC";"A";"4605"
"International Symposium on String Processing and Information Retrieval";"SPIRE";"C";"4605"
"International Wordnet Conference (Global Wordnet Conference)";"GWC";"C";"4605"
"International Workshop on Data Management on New Hardware";"DaMoN";"C";"4605"
"International Workshop on Data Warehousing and OLAP";"DOLAP";"C";"4605"
"International Workshop on Document Analysis Systems";"DAS";"B";"4605"
"International World Wide Web Conference";"WWW";"A*";"4606"
"Knowledge capture";"K-CAP";"B";"4605"
"Language, Data and Knowledge";"LDK";"C";"4602"
"Latin American Conference on Informatics";"CLEI";"C";"4602"
"Pacific-Asia Conference on Knowledge Discovery and Data Mining";"PAKDD";"B";"4605"
"Semantics - International Conference on Semantic Systems";"Semantics";"Regional: Austria, Germany, Netherlands";"4605"
"SIAM International Conference on Data Mining";"SDM";"A";"4605"
"Symposium on Advances in DB and Information Systems";"ADBIS";"C";"4605"
"The ACM International System and Storage Conference";"SYSTOR";"National:Israel";"4606"
"Utility and Cloud Computing";"UCC";"Unranked";"4606"
"Web and Big Data";"APWEB";"C";"4605"
"International Conference on Ambient Systems, Networks and Technologies";"ANT";"Unranked";"4606"
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication";"SIGCOMM";"A*";"4606"
"ACM Conference on Embedded Networked Sensor Systems";"SENSYS";"unranked: merged";"4606"
"ACM International Conference on Emerging Networking Experiments and Technologies";"CoNEXT";"A";"4606"
"ACM International Conference on Mobile Computing and Networking";"MOBICOM";"A*";"4606"
"ACM International Conference on Supercomputing";"ICS";"A";"CSE"
"ACM International Symposium on Computer Architecture";"ISCA";"A*";"CSE"
"ACM International Symposium on High Performance Distributed Computing";"HPDC";"A";"4606"
"ACM International Wireless Communications and Mobile Computing Conference";"IWCMC";"B";"4606"
"ACM Multimedia Systems Conference";"MMSys";"A";"4606"
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services";"Mobisys";"A";"4606"
"ACM SIGOPS Symposium on Operating Systems Principles";"SOSP";"A*";"4606"
"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems";"LCTES";"B";"4606"
"ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation)";"PADS";"B";"4606"
"ACM Symposium on Mobile Ad Hoc Networking and Computing";"MOBIHOC";"B";"4606"
"ACM Symposium on Principles of Distributed Computing";"PODC";"A*";"4606"
"ACM Workshop on Hot Topics in Networks";"HOTNETS";"National: USA";"4606"
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems";"MSWIM";"A";"4606"
"ACM/IEEE Symposium on Edge Computing";"SEC";"unranked";"4606"
"ACM/IFIP/USENIX International Middleware Conference";"Middleware";"A";"4606"
"ACM/SPEC International Conference on Performance Engineering";"ICPE";"B";"4612"
"Advances in Financial Technologies";"AFT";"B";"4606"
"Architectural Support for Programming Languages and Operating Systems";"ASPLOS";"A*";"4612"
"Asia and South Pacific Design Automation Conference";"ASPDAC";"B";"4606"
"Asia Pacific Conference on Communications";"APCC";"C";"4606"
"Asia-Pacific Network Operations and Management Symposium";"APNOMS";"C";"4606"
"Asia-Pacific Services Computing Conference";"APSCC";"C";"4606"
"Asilomar Conference on Signals, Systems and Computing";"ACSSC";"National: USA";"4606"
"Australasian Symposium on Parallel and Distributed Computing (was AusGrid)";"AusPDC";"Australasian C";"4606"
"Conference on Information Sciences and Systems";"CISS";"National: USA";"4606"
"Conference on Innovation in Clouds, Internet and Networks";"ICIN";"National: France";"4606"
"Conference on Software in Telecommunications and Computer Networks";"SOFTCOM";"National: Croatia";"4606"
"EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS";"EATIS";"C";"4606"
"Euromicro Conference on Real-Time Systems";"ECRTS";"B";"4606"
"Euromicro Conference Series on Digital System Design";"DSD";"C";"CSE"
"Euromicro International Conference on Parallel, Distributed and Network Based Processing";"PDP";"C";"4606"
"European Dependable Computing Conference";"EDCC";"Unranked";"4604"
"European MPI Users' Group Conference";"EuroMPI";"C";"4606"
"Eurosys Conference";"EuroSys";"A";"4606"
"Heterogeneity in Computing Workshop";"HCW";"C";"4606"
"IEEE Conference of the Open Innovations Association FRUCT";"FRUCT";"Regional";"4606"
"IEEE Conference on Cognitive and Computational Aspects of Situation Management";"CogSIMA";"National:USA";"4606"
"IEEE Conference on Local Computer Networks";"LCN";"B";"4606"
"IEEE Conference on Mass Storage Systems and Technologies";"MSST";"National: USA";"4606"
"IEEE Congress on Services";"SERVICES";"B";"4606"
"IEEE Consumer Communications and Networking Conference";"IEEE CCNC";"B";"4606"
"IEEE Global Internet Symposium";"GI";"C";"4606"
"IEEE Global Telecommunications Conference";"GLOBECOM";"B";"4606"
"IEEE International Conference on Blockchain and Cryptocurrency";"ICBC";"C";"4606"
"IEEE International Conference on Cloud Computing";"CLOUD";"B";"4606"
"IEEE International Conference on Cloud Computing in Emerging Markets";"CCEM";"National:India";"4606"
"IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010)";"CloudCom";"C";"4606"
"IEEE International Conference on Cluster Computing";"CLUSTER";"C";"4606"
"IEEE International Conference on Computer Communications";"INFOCOM";"A*";"4606"
"IEEE International Conference on Distributed Computing in Sensor Systems";"DCOSS";"B";"4606"
"IEEE International Conference on e-Science and Grid Computing";"e-Science";"B";"4606"
"IEEE International Conference on Engineering of Complex Computer Systems";"ICECCS";"B";"4612"
"IEEE International Conference on Fog and Edge Computing";"ICFEC";"C";"4606"
"IEEE International Conference on High Performance Computing and Communications";"HPCC";"C";"4606"
"IEEE International Conference on Mobile Ad-hoc and Sensor Systems";"MASS";"B";"4606"
"IEEE International Conference on Pervasive Computing and Communications";"PERCOM";"A*";"4608"
"IEEE International Conference on Sensing, Communication and Networking";"SECON";"B";"4606"
"IEEE International Conference on Smart Computing";"SmartComp";"B";"4601"
"IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC)";"IEEE SSE";"B";"4606"
"IEEE International Conference on Web Services";"ICWS";"A";"4606"
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications";"WiMob";"B";"4606"
"IEEE International Enterprise Distributed Object Computing Conference";"EDOC";"B";"4606"
"IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP)";"IPDPS";"A";"4606"
"IEEE International Performance Computing and Communications Conference";"IPCCC";"C";"4606"
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks";"WoWMoM";"C";"4606"
"IEEE International Symposium on Cluster, Cloud and Grid Computing";"CCGRID";"B";"4606"
"IEEE International Symposium on Network Computing and Applications";"NCA";"B";"4606"
"IEEE International Symposium on Parallel and Distributed Processing with Applications";"ISPA";"C";"4606"
"IEEE International Symposium on Personal and Indoor Mobile Radio Conference";"PIMRC";"B";"4606"
"IEEE International Symposium on Real-Time Distributed Computing";"ISORC";"C";"4606"
"IEEE International Workshop on Quality of Service";"IWQoS";"B";"4606"
"IEEE LAN/MAN Workshop";"LANMAN";"C";"4606"
"IEEE Network Operations and Management Symposium";"NOMS";"B";"4606"
"IEEE Real-Time and Embedded Technology and Applications Symposium";"RTAS";"A";"4606"
"IEEE Symposium on Computers and Communications";"ISCC";"C";"4606"
"IEEE Symposium on Field Programmable Custom Computing Machines";"FCCM";"National/Regional";"CSE"
"IEEE Symposium on High-Performance Interconnects";"HOTI";"National: USA";"4606"
"IEEE Vehicular Technology Conference";"VTC";"B";"4606"
"IEEE Wireless Communications and Networking Conference";"WCNC";"B";"4606"
"IEEE Workshop on High Performance Switching and Routing";"HPSR";"C";"4606"
"IEEE/ACM International Conference on Computer-Aided Design";"ICCAD";"A";"CSE"
"IEEE/IFIP International Conference on Dependable Systems and Networks";"DSN";"A";"4606"
"IEEE/IFIP International Conference on Embedded and Ubiquitous Computing";"EUC";"C";"4606"
"IFAC Conference on System Structure and Control";"SSSC";"C";"4612"
"IFIP International Conference on Distributed Applications and Interoperable Systems";"DAIS";"C";"4606"
"IFIP International Conference on Network and Parallel Computing";"NPC";"C";"4606"
"IFIP International Conference on Networking";"Networking";"B";"4606"
"IFIP Working Conferences on Virtual Enterprises";"PRO-VE";"C";"4606"
"IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks";"PEMWN";"C";"4606"
"IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS)";"IM";"B";"4606"
"Intelligent Distributed Computing";"IDC";"Unranked";"4606"
"International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region";"HPC Asia";"C";"4606"
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)";"SC";"A";"CSE"
"International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing)";"ATC";"C";"4604"
"International Conference on Advanced Computing and Communications";"AdCom";"National: India";"4606"
"International Conference on Advanced Information Networking and Applications (was ICOIN)";"AINA";"B";"4606"
"International Conference on Advances in Mobile Computing and Multimedia";"MOMM";"C";"4606"
"International Conference on Algorithms and Architectures for Parallel Processing";"ICA3PP";"C";"4606"
"International Conference on Broadband Communications, Networks and Systems";"Broadnets";"C";"4606"
"International Conference on Cloud Computing and Services Science";"CLOSER";"C";"4606"
"International Conference on Cloud Engineering";"IC2E";"B";"4606"
"International Conference on Collaborative Computing: Networks, Applications and Worksharing";"CollaborateCom";"C";"4606"
"International Conference on COMmunication Systems & NETworkS";"COMSNETS";"National:India";"4606"
"International Conference on Communication Systems and Applications";"ICCSA";"C";"4606"
"International Conference on Compiler Construction";"CC";"B";"4606"
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems";"CASES";"Journal published";"4606"
"International Conference on Complex, Intelligent and Software Intensive Systems";"CISIS";"C";"4606"
"International Conference on Complexity, Future Information Systems and Risk";"COMPLEXIS";"C";"4613"
"International Conference on Computational Collective Intelligence";"ICCCI";"B";"4602"
"International Conference on Computer Communication and Networks";"ICCCN";"B";"4606"
"International Conference on Concurrency Theory";"CONCUR";"B";"4613"
"International Conference on Coordination Models and Languages";"Coordination";"C";"4606"
"International Conference on Dependability of Computer Systems";"DEPCoS";"National: Poland";"4606"
"International Conference on Distributed Computing and Artificial Intelligence";"DCAI";"National(Spain)";"4602"
"International Conference on Distributed Computing and Internet Technologies";"ICDCIT";"National: India";"4606"
"International Conference on Distributed Computing and Networking";"ICDCN";"National: India";"4606"
"International Conference on Distributed Computing Systems";"ICDCS";"A";"4606"
"International Conference on Embedded and Real Time Computing Systems and Applications";"RTCSA";"B";"4606"
"International Conference on Embedded Software";"EMSOFT";"Journal Published";"4606"
"International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks)";"EWSN";"B";"4606"
"International Conference on Emerging Ubiquitous Systems and Pervasive Networks";"EUSPN";"Unranked";"4606"
"International Conference on Factory Communication Systems";"WFCS";"C";"CSE"
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)";"GPC";"C";"4606"
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)";"CODES+ISSS";"Journal Published";"CSE"
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)";"Qshine";"C";"4606"
"International Conference on High Performance Computing";"HiPC";"National: India";"4606"
"International Conference on High Performance Scientific Computing";"HPSC";"National: Vietnam";"4606"
"International Conference on Indoor Positioning and Indoor Navigation";"IPIN";"C";"4606"
"International Conference on Internet and Web Applications and Services";"ICIW";"C";"4606"
"International Conference on Internet Computing in Science and Engineering";"ICICSE";"C";"4606"
"International Conference on Management of Digital EcoSystems";"MEDES";"C";"4606"
"International Conference on Mobile and Ubiquitous Systems: Networks and Services";"Mobiquitous";"C";"4606"
"International Conference on Mobile Data Management";"MDM";"B";"4605"
"International Conference on Mobile Systems and Pervasive Computing";"MobiSPC";"Unranked";"4606"
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies";"UBICOMM";"C";"4606"
"International Conference on Model-Driven Engineering and Software Development";"MODELSWARD";"C";"4606"
"International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010)";"CNSM";"B";"4606"
"International Conference on Network Protocols";"ICNP";"B";"4606"
"International Conference on Network Softwarization";"NetSoft";"B";"4606"
"International Conference on Parallel and Distributed Computing, Applications and Technologies";"PDCAT";"C";"4606"
"International Conference on Parallel and Distributed Processing Techniques and Applications";"PDPTA";"National: USA";"4606"
"International Conference on Parallel and Distributed Systems";"ICPADS";"B";"4606"
"International Conference on Parallel Architecture and Compilation Techniques";"PACT";"B";"4606"
"International Conference on Parallel Processing";"ICPP";"B";"4606"
"International Conference on Parallel Processing and Applied Mathematics";"PPAM";"National: Poland";"4606"
"International Conference on Principles of Distributed Systems";"OPODIS";"B";"4606"
"International Conference on Real-Time and Network Systems";"RTNS";"National: France";"4606"
"International Conference on Service Oriented Computing";"ICSOC";"A";"4606"
"International Conference on Simulation and Modeling Methodologies, Technologies and Applications";"SIMULTECH";"C";"4606"
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing";"SNPD";"C";"4612"
"International Conference on Sustainable Energy Information Technology";"SEIT";"Unranked";"4601"
"International Conference on the Application and Theory of Petri Nets and Concurrency";"Petri Nets";"B";"4606"
"International Conference on Ubiquitous Intelligence and Computing";"UIC";"C";"4606"
"International Conference on Vehicle Technology and Intelligent Transport Systems";"VEHITS";"C";"4606"
"International Conference on Virtual Execution Environments";"VEE";"B";"4606"
"International Conference on VLSI Design";"VLSID";"National: India";"4606"
"International Conference on Web Information Systems Engineering";"WISE";"B";"4605"
"International Conference on Wireless Networks and Mobile Communications";"WINCOM";"C";"4606"
"International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing)";"EuroPar";"B";"4606"
"International Network Optimization Conference";"INOC";"C";"4606"
"International Symposium on Algorithms and Experiments for  Wireless Networks";"Algosensors";"C";"4606"
"International Symposium on Autonomous Decentralized Systems";"ISADS";"C";"4606"
"International Symposium on Computer Architecture and High Performance Computing";"SBAC-PAD";"C";"4606"
"International Symposium on Distributed Computing (was WDAG)";"DISC";"A";"4606"
"International Symposium on Distributed Simulation and Real Time Applications";"DS-RT";"C";"4606"
"International Symposium on Grids and Clouds (was International Symposium on Grid Computing)";"ISGC";"C";"4606"
"International Symposium on High Performance Computer Architecture";"HPCA";"A*";"CSE"
"International Symposium on Memory Management";"ISMM";"C";"4606"
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks";"WiOpt";"B";"4606"
"International Symposium on Networks, Computers and Communications";"ISNCC";"C";"4606"
"International Symposium on Parallel and Distributed Computing";"ISPDC";"C";"4606"
"International Symposium on the Mathematical Theory of Networks and Systems";"MTNS";"C";"4606"
"International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference)";"ITNAC";"Australasian C";"4606"
"International Teletraffic Congress";"ITC";"Unranked";"4606"
"International workshop on High-Level Parallel Programming and Applications";"HLPP";"C";"4606"
"International Workshop on High-Level Parallel Programming Models and Supportive Environments";"HIPS";"C";"4606"
"International Workshop on Principles of Diagnosis";"DX";"C";"4612"
"International Workshop on Software and Compilers for Embedded Systems";"SCOPES";"C";"4606"
"International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises";"WETICE";"C";"4606"
"International World Wide Web Conference";"WWW";"A*";"4606"
"Internet Measurement Conference";"IMC";"A";"4606"
"ISC High Performance (was International Supercomputing Conference)";"ISC";"National/Regional";"4606"
"Malaysia International Conference on Communications";"MICC";"Regional";"4606"
"Network and Operating System Support for Digital Audio and Video";"NOSSDAV";"B";"4606"
"Pacific Rim International Symposium on Dependable Computing";"PRDC";"C";"4612"
"Passive and Active Measurement Conference";"PAM";"B";"4606"
"Principles and Practice of Parallel Programming";"PPoPP";"B";"4606"
"Real Time Systems Symposium";"RTSS";"A";"4606"
"Symposium Model Analysis and Simulation of Computer and Telecommunications Systems";"MASCOTS";"B";"4606"
"Symposium on High Performance Chips";"HOTCHIPS (HCS)";"C";"4606"
"Symposium on Networked Systems, Design and Implementation";"NSDI";"National: USA";"4606"
"Symposium on Parallelism in Algorithms and Architectures";"SPAA";"B";"4606"
"Symposium on Reliable Distributed Systems";"SRDS";"B";"4606"
"Testbeds and Research Infrastructures for the Development of Networks and Communities";"TridentCom";"National: China";"4606"
"The ACM International System and Storage Conference";"SYSTOR";"National:Israel";"4606"
"The ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies";"COMPASS";"C";"4608"
"The International Conference on Future Networks and Communications";"FNC";"Unranked";"4606"
"The International Conference on Verification and Evaluation of Computer and Communication Systems";"VECoS";"C";"4606"
"Usenix Annual Technical Conference";"USENIX";"A";"4606"
"Usenix Symposium on Operating Systems Design and Implementation";"OSDI";"A*";"4606"
"USENIX Workshop on Hot Topics in Operating Systems";"HotOS";"A";"4606"
"Utility and Cloud Computing";"UCC";"Unranked";"4606"
"Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks";"Graph-hoc";"C";"4606"
"Workshop on Job Scheduling Strategies for Parallel Processing";"JSSPP";"C";"4606"
"Workshop on Mobile Computing Systems and Applications";"HOTMOBILE";"National: USA";"4606"
"Workshop on Programming Languages and Operating Systems";"PLOS";"C";"4606"
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)";"ACE";"C";"4607"
"ACM International Conference on Interactive Media Experiences";"IMX";"C";"4608"
"ACM Multimedia Systems Conference";"MMSys";"A";"4606"
